,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,bestsellers_date,display_name,list_name,list_name_encoded,published_date,updated
205,11,0,1,0,0,1496718925,9781496718921,Kensington,Easter orders are put on hold at Hannah Swenson’s bakery while she investigates the murder of Mayor Bascomb.,0.00,TRIPLE CHOCOLATE CHEESECAKE MURDER,Joanne Fluke,by Joanne Fluke,,https://storage.googleapis.com/du-prd/books/images/9781496718921.jpg,331,500,https://www.amazon.com/dp/1496718925?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1496718925', 'isbn13': '9781496718921'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1496718925?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=TRIPLE+CHOCOLATE+CHEESECAKE+MURDER&author=Joanne+Fluke'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781496718921'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTRIPLE%252BCHOCOLATE%252BCHEESECAKE%252BMURDER%252FJoanne%252BFluke%252F9781496718921&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTRIPLE%252BCHOCOLATE%252BCHEESECAKE%252BMURDER%252BJoanne%252BFluke'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781496718921&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTRIPLE%2BCHOCOLATE%2BCHEESECAKE%2BMURDER'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781496718921%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTRIPLE%2BCHOCOLATE%2BCHEESECAKE%2BMURDER%2BJoanne%2BFluke%26aff%3DNYT'}]",nyt://book/7236d8b6-27c1-52c3-9f8e-011afdd96d94,2021-02-27,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-14,WEEKLY
206,12,0,1,0,0,0399593691,9780399593697,Delacorte,"The 11th book in the Fever series. As High Queen of the Fae, MacKayla Lane must rule those she was born to kill.",0.00,KINGDOM OF SHADOW AND LIGHT,Karen Marie Moning,by Karen Marie Moning,,https://storage.googleapis.com/du-prd/books/images/9780399593697.jpg,330,500,https://www.amazon.com/dp/0399593691?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0399593691', 'isbn13': '9780399593697'}, {'isbn10': '0399593705', 'isbn13': '9780399593703'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0399593691?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=KINGDOM+OF+SHADOW+AND+LIGHT&author=Karen+Marie+Moning'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780399593697'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKINGDOM%252BOF%252BSHADOW%252BAND%252BLIGHT%252FKaren%252BMarie%252BMoning%252F9780399593697&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKINGDOM%252BOF%252BSHADOW%252BAND%252BLIGHT%252BKaren%252BMarie%252BMoning'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780399593697&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DKINGDOM%2BOF%2BSHADOW%2BAND%2BLIGHT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780399593697%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKINGDOM%2BOF%2BSHADOW%2BAND%2BLIGHT%2BKaren%2BMarie%2BMoning%26aff%3DNYT'}]",nyt://book/fcd37beb-c37c-5f59-a86e-5d6703d7ad6e,2021-02-27,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-14,WEEKLY
207,13,13,3,0,0,1982134194,9781982134198,Atria,A teenager in Montana discovers that her elderly neighbor worked decades earlier at the American Library in Paris and was part of the Resistance.,0.00,THE PARIS LIBRARY,Janet Skeslien Charles,by Janet Skeslien Charles,,https://storage.googleapis.com/du-prd/books/images/9781982134198.jpg,331,500,https://www.amazon.com/dp/1982134194?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1982134194', 'isbn13': '9781982134198'}, {'isbn10': '1982134216', 'isbn13': '9781982134211'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1982134194?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+PARIS+LIBRARY&author=Janet+Skeslien+Charles'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982134198'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BPARIS%252BLIBRARY%252FJanet%252BSkeslien%252BCharles%252F9781982134198&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BPARIS%252BLIBRARY%252BJanet%252BSkeslien%252BCharles'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781982134198&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BPARIS%2BLIBRARY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781982134198%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BPARIS%2BLIBRARY%2BJanet%2BSkeslien%2BCharles%26aff%3DNYT'}]",nyt://book/219f8a0e-76f1-5ba0-b7ec-518395b7987b,2021-02-27,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-14,WEEKLY
208,14,14,22,0,0,1538728575,9781538728574,Grand Central,A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.,0.00,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,https://storage.googleapis.com/du-prd/books/images/9781538728574.jpg,329,500,https://www.amazon.com/dp/1538728575?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1538728575', 'isbn13': '9781538728574'}, {'isbn10': '1538718979', 'isbn13': '9781538718971'}, {'isbn10': '1478992670', 'isbn13': '9781478992677'}, {'isbn10': '1549102214', 'isbn13': '9781549102219'}, {'isbn10': '1549106570', 'isbn13': '9781549106576'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1538728575?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+RETURN&author=Nicholas+Sparks'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538728574'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BRETURN%252FNicholas%252BSparks%252F9781538728574&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BRETURN%252BNicholas%252BSparks'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781538728574&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BRETURN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781538728574%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BRETURN%2BNicholas%2BSparks%26aff%3DNYT'}]",nyt://book/b9bf792c-a853-54ce-8f33-7117f51be365,2021-02-27,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-14,WEEKLY
209,15,12,24,0,0,1501160834,9781501160837,Atria,A failed bank robber holds a group of strangers hostage at an apartment open house.,0.00,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,https://storage.googleapis.com/du-prd/books/images/9781501160837.jpg,332,500,https://www.amazon.com/dp/1501160834?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1501160834', 'isbn13': '9781501160837'}, {'isbn10': '198216963X', 'isbn13': '9781982169633'}, {'isbn10': '1501160850', 'isbn13': '9781501160851'}, {'isbn10': '1432879715', 'isbn13': '9781432879716'}, {'isbn10': '1797105825', 'isbn13': '9781797105826'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1501160834?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=ANXIOUS+PEOPLE&author=Fredrik+Backman'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501160837'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FANXIOUS%252BPEOPLE%252FFredrik%252BBackman%252F9781501160837&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DANXIOUS%252BPEOPLE%252BFredrik%252BBackman'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781501160837&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DANXIOUS%2BPEOPLE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781501160837%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DANXIOUS%2BPEOPLE%2BFredrik%2BBackman%26aff%3DNYT'}]",nyt://book/3981eb6a-8937-5dcb-848b-a3904bf779a2,2021-02-27,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-14,WEEKLY
210,1,0,1,0,0,168119628X,9781681196282,Bloomsbury,The fifth book in A Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,0.00,A COURT OF SILVER FLAMES,Sarah J. Maas,by Sarah J. Maas,,https://storage.googleapis.com/du-prd/books/images/9781681196282.jpg,304,500,https://www.amazon.com/dp/168119628X?tag=NYTBSREV-20,,,,,,"[{'isbn10': '168119628X', 'isbn13': '9781681196282'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/168119628X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=A+COURT+OF+SILVER+FLAMES&author=Sarah+J.+Maas'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781681196282'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FA%252BCOURT%252BOF%252BSILVER%252BFLAMES%252FSarah%252BJ.%252BMaas%252F9781681196282&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DA%252BCOURT%252BOF%252BSILVER%252BFLAMES%252BSarah%252BJ.%252BMaas'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781681196282&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DA%2BCOURT%2BOF%2BSILVER%2BFLAMES'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781681196282%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DA%2BCOURT%2BOF%2BSILVER%2BFLAMES%2BSarah%2BJ.%2BMaas%26aff%3DNYT'}]",nyt://book/00406866-1075-514a-b834-67073a4aa268,2021-02-20,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-07,WEEKLY
211,2,1,3,0,0,1250178606,9781250178602,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.",0.00,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,https://storage.googleapis.com/du-prd/books/images/9781250178602.jpg,329,500,https://www.amazon.com/dp/1250178606?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250178606', 'isbn13': '9781250178602'}, {'isbn10': '1250178622', 'isbn13': '9781250178626'}, {'isbn10': '1250317258', 'isbn13': '9781250317254'}, {'isbn10': '1643588230', 'isbn13': '9781643588230'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1250178606?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+FOUR+WINDS&author=Kristin+Hannah'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250178602'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BFOUR%252BWINDS%252FKristin%252BHannah%252F9781250178602&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BFOUR%252BWINDS%252BKristin%252BHannah'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250178602&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BFOUR%2BWINDS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250178602%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BFOUR%2BWINDS%2BKristin%2BHannah%26aff%3DNYT'}]",nyt://book/c34834c6-f957-5b0b-8fd7-abd9c35eebed,2021-02-20,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-07,WEEKLY
212,3,3,12,0,0,0525559477,9780525559474,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,0.00,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg,331,500,https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525559477', 'isbn13': '9780525559474'}, {'isbn10': '0525559485', 'isbn13': '9780525559481'}, {'isbn10': '0655697071', 'isbn13': '9780655697077'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+MIDNIGHT+LIBRARY&author=Matt+Haig'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525559474'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BMIDNIGHT%252BLIBRARY%252FMatt%252BHaig%252F9780525559474&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BMIDNIGHT%252BLIBRARY%252BMatt%252BHaig'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525559474&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BMIDNIGHT%2BLIBRARY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525559474%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BMIDNIGHT%2BLIBRARY%2BMatt%2BHaig%26aff%3DNYT'}]",nyt://book/60d0ee2d-3d05-50c9-a484-050d17a2308e,2021-02-20,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-07,WEEKLY
213,4,5,38,0,0,0525536299,9780525536291,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,0.00,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg,331,500,https://www.amazon.com/dp/0525536299?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525536299', 'isbn13': '9780525536291'}, {'isbn10': '0593329430', 'isbn13': '9780593329436'}, {'isbn10': '0593416961', 'isbn13': '9780593416969'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0525536299?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+VANISHING+HALF&author=Brit+Bennett'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525536291'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BVANISHING%252BHALF%252FBrit%252BBennett%252F9780525536291&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BVANISHING%252BHALF%252BBrit%252BBennett'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525536291&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BVANISHING%2BHALF'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525536291%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BVANISHING%2BHALF%2BBrit%2BBennett%26aff%3DNYT'}]",nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64,2021-02-20,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-07,WEEKLY
214,5,4,3,0,0,0593296672,9780593296677,Pamela Dorman,"Elin Warner must find her estranged brother’s fiancée, who goes missing as a storm approaches a hotel that was once a sanatorium in the Swiss Alps.",0.00,THE SANATORIUM,Sarah Pearse,by Sarah Pearse,,https://storage.googleapis.com/du-prd/books/images/9780593296677.jpg,331,500,https://www.amazon.com/dp/0593296672?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593296672', 'isbn13': '9780593296677'}, {'isbn10': '0593296680', 'isbn13': '9780593296684'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593296672?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+SANATORIUM&author=Sarah+Pearse'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593296677'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BSANATORIUM%252FSarah%252BPearse%252F9780593296677&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BSANATORIUM%252BSarah%252BPearse'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593296677&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BSANATORIUM'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593296677%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BSANATORIUM%2BSarah%2BPearse%26aff%3DNYT'}]",nyt://book/4c181f67-8e4b-507e-b590-e85b3ebe2b18,2021-02-20,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-07,WEEKLY
215,6,6,17,0,0,0765387565,9780765387561,Tor/Forge,A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.,0.00,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,https://storage.googleapis.com/du-prd/books/images/9780765387561.jpg,331,500,https://www.amazon.com/dp/0765387565?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0765387565', 'isbn13': '9780765387561'}, {'isbn10': '1250793971', 'isbn13': '9781250793997'}, {'isbn10': '1250793998', 'isbn13': '9781250795182'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0765387565?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+INVISIBLE+LIFE+OF+ADDIE+LARUE&author=V.E.+Schwab'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780765387561'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BINVISIBLE%252BLIFE%252BOF%252BADDIE%252BLARUE%252FV.E.%252BSchwab%252F9780765387561&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BINVISIBLE%252BLIFE%252BOF%252BADDIE%252BLARUE%252BV.E.%252BSchwab'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780765387561&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BINVISIBLE%2BLIFE%2BOF%2BADDIE%2BLARUE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780765387561%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BINVISIBLE%2BLIFE%2BOF%2BADDIE%2BLARUE%2BV.E.%2BSchwab%26aff%3DNYT'}]",nyt://book/c9bf2d03-7b78-58d8-a9d7-a9b897d08427,2021-02-20,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2021-03-07,WEEKLY
